Product_Name,Category,Brand,Previous_Price,Current_Price,Expected_Future_Price,Growth_Rate,Date,Location,Quantity,Discount
Lenovo LOQ,Laptop,Asus,52387.65,59753.02,65633.65,14.06,2024-12-22,Kolkata,7,17
iPhone 15,Mobile,Samsung,31087.5,36488.01,40925.09,17.37,2024-11-19,Chennai,4,14
Normal Rice 1kg,Rice,Fortune,54.8,62.92,69.45,14.82,2025-03-29,Chennai,9,10
Onion 1kg,Vegetable,Local,67.99,75.71,81.73,11.35,2024-02-21,Mumbai,6,22
HP Victus,Laptop,HP,70898.92,90781.57,108602.5,28.04,2023-07-24,Hyderabad,2,25
Lenovo LOQ,Laptop,Lenovo,94866.84,109249.44,120843.63,15.16,2025-05-09,Kolkata,4,17
Gold 24K 1g,Gold,Market,5448.14,6547.93,7473.19,20.19,2024-06-03,Delhi,1,4
Silver 1g,Silver,Market,95.99,111.62,124.34,16.28,2023-10-15,Bangalore,7,19
Silver 1g,Silver,Market,90.16,91.02,91.63,0.95,2023-10-09,Mumbai,7,13
Diesel 1L,Fuel,IndianOil,111.49,129.57,144.28,16.22,2023-11-09,Delhi,10,25
Lenovo LOQ,Laptop,HP,76523.58,93954.48,108935.45,22.78,2023-11-28,Delhi,8,3
Onion 1kg,Vegetable,Local,31.0,30.65,30.41,-1.13,2023-08-22,Hyderabad,4,0
Normal Rice 1kg,Rice,Fortune,82.09,88.02,92.47,7.22,2023-06-13,Hyderabad,5,6
Silver 1g,Silver,Market,100.11,112.44,122.13,12.32,2023-03-24,Mumbai,8,23
Gold 24K 1g,Gold,Market,6755.34,7191.55,7516.61,6.46,2023-10-29,Delhi,9,2
Petrol 1L,Fuel,HP,93.31,106.05,116.19,13.65,2023-02-05,Pune,7,4
Realme GT,Mobile,Realme,11846.49,15085.62,17972.97,27.34,2024-07-04,Delhi,2,5
Normal Rice 1kg,Rice,Local,60.24,69.63,77.23,15.59,2023-09-20,Pune,9,22
Petrol 1L,Fuel,IndianOil,93.19,114.55,132.93,22.92,2025-05-01,Bangalore,9,9
Bread,Grocery,Aashirvaad,90.69,95.45,98.96,5.25,2024-09-26,Kolkata,3,4
Asus TUF,Laptop,HP,65313.82,77297.05,87224.32,18.35,2023-08-02,Hyderabad,5,24
Asus TUF,Laptop,Asus,43220.06,52481.84,60354.4,21.43,2023-01-14,Hyderabad,8,24
Premium Rice 1kg,Rice,Fortune,67.58,72.84,76.81,7.78,2023-11-17,Pune,10,12
Lenovo LOQ,Laptop,HP,36953.29,40422.0,43078.02,9.39,2023-04-08,Hyderabad,5,3
HP Victus,Laptop,HP,89345.22,88884.73,88564.05,-0.52,2023-07-01,Delhi,6,14
Sugar 1kg,Grocery,Amul,64.94,68.72,71.52,5.82,2025-03-19,Bangalore,3,22
Gold 22K 1g,Gold,Market,4563.6,5951.22,7217.9,30.41,2023-05-20,Delhi,6,13
Sugar 1kg,Grocery,Britannia,24.78,25.23,25.55,1.82,2023-04-12,Mumbai,10,21
Gold 24K 1g,Gold,Market,5634.18,6287.21,6797.31,11.59,2023-10-10,Bangalore,1,24
Normal Rice 1kg,Rice,IndiaGate,62.53,74.02,83.54,18.38,2024-02-02,Kolkata,3,22
OnePlus 12,Mobile,Samsung,54393.05,62270.97,68584.2,14.48,2023-10-28,Delhi,10,1
Onion 1kg,Vegetable,Local,58.97,70.88,80.9,20.2,2023-04-20,Bangalore,4,24
HP Victus,Laptop,Dell,36928.8,39444.26,41325.02,6.81,2023-03-20,Hyderabad,10,6
Petrol 1L,Fuel,BPCL,84.82,100.3,113.11,18.25,2025-05-27,Pune,5,4
Tomato 1kg,Vegetable,Local,60.1,59.3,58.75,-1.33,2024-02-21,Pune,8,18
Gold 24K 1g,Gold,Market,5777.81,6425.33,6929.39,11.21,2023-10-13,Hyderabad,2,24
Tomato 1kg,Vegetable,Local,69.97,87.5,102.85,25.05,2024-04-12,Hyderabad,5,18
Gold 24K 1g,Gold,Market,5693.55,6968.42,8060.65,22.39,2025-06-18,Pune,3,19
Normal Rice 1kg,Rice,Fortune,69.6,80.55,89.42,15.73,2023-01-27,Hyderabad,5,20
Silver 1g,Silver,Market,66.8,77.15,85.52,15.49,2023-10-22,Bangalore,3,14
Tomato 1kg,Vegetable,Local,63.37,74.73,84.11,17.93,2023-11-09,Kolkata,9,14
Normal Rice 1kg,Rice,Fortune,75.79,80.63,84.23,6.39,2024-01-13,Kolkata,9,21
Silver 1g,Silver,Market,77.79,96.4,112.54,23.92,2025-02-01,Chennai,4,21
Onion 1kg,Vegetable,Local,20.52,21.47,22.17,4.63,2024-10-31,Bangalore,5,20
Diesel 1L,Fuel,BPCL,70.36,81.13,89.82,15.31,2025-04-24,Bangalore,5,18
Milk 1L,Grocery,Amul,25.71,28.53,30.72,10.97,2025-04-08,Chennai,8,25
Realme GT,Mobile,Xiaomi,58852.76,67321.89,74103.4,14.39,2024-10-04,Bangalore,8,12
Gold 24K 1g,Gold,Market,5443.88,5825.67,6111.67,7.01,2024-11-22,Hyderabad,3,4
Tomato 1kg,Vegetable,Local,34.89,43.36,50.73,24.28,2023-12-28,Chennai,1,2
Premium Rice 1kg,Rice,IndiaGate,51.7,61.19,69.05,18.36,2024-11-24,Bangalore,3,19
Gold 24K 1g,Gold,Market,6130.44,6970.37,7638.88,13.7,2023-09-24,Mumbai,3,8
Realme GT,Mobile,Xiaomi,57729.93,62803.55,66667.21,8.79,2023-01-16,Kolkata,6,6
Silver 1g,Silver,Market,79.16,98.85,116.06,24.87,2023-01-28,Mumbai,2,17
HP Victus,Laptop,HP,38226.17,40804.39,42730.87,6.74,2023-08-15,Hyderabad,10,25
Diesel 1L,Fuel,HP,86.06,102.58,116.36,19.2,2023-08-06,Chennai,9,22
Gold 22K 1g,Gold,Market,6693.17,6807.85,6889.5,1.71,2024-08-22,Delhi,7,21
Bread,Grocery,Britannia,40.63,46.42,51.05,14.25,2023-12-22,Mumbai,10,10
Silver 1g,Silver,Market,93.64,115.27,133.91,23.1,2024-06-05,Delhi,2,5
Normal Rice 1kg,Rice,IndiaGate,62.16,70.52,77.16,13.45,2023-11-16,Kolkata,1,19
Normal Rice 1kg,Rice,IndiaGate,39.84,44.46,48.07,11.6,2024-02-06,Bangalore,4,13
Bread,Grocery,Amul,76.57,91.09,103.18,18.96,2023-10-30,Kolkata,8,17
Potato 1kg,Vegetable,Local,64.83,68.84,71.82,6.19,2024-01-11,Chennai,7,22
Normal Rice 1kg,Rice,Local,43.45,48.82,53.04,12.36,2024-06-01,Hyderabad,5,10
Potato 1kg,Vegetable,Local,26.27,33.13,39.19,26.11,2023-07-23,Delhi,4,25
Sugar 1kg,Grocery,Aashirvaad,77.85,98.11,115.98,26.02,2023-08-24,Pune,5,3
Gold 22K 1g,Gold,Market,5249.43,5476.02,5641.48,4.32,2024-03-27,Kolkata,4,23
Redmi Note 14,Mobile,Samsung,42356.64,55801.88,68201.09,31.74,2024-09-22,Bangalore,2,22
Diesel 1L,Fuel,BPCL,97.49,109.32,118.61,12.13,2024-05-22,Chennai,9,2
Silver 1g,Silver,Market,110.85,123.96,134.22,11.83,2024-08-04,Mumbai,5,17
Redmi Note 14,Mobile,Apple,46484.12,51273.69,54971.84,10.3,2023-09-13,Mumbai,3,1
Diesel 1L,Fuel,HP,88.63,91.69,93.91,3.45,2023-11-19,Kolkata,7,12
Premium Rice 1kg,Rice,Fortune,42.72,44.76,46.26,4.78,2023-06-27,Hyderabad,7,18
Gold 22K 1g,Gold,Market,6264.99,7242.52,8033.56,15.6,2023-06-13,Mumbai,1,0
Potato 1kg,Vegetable,Local,62.54,67.08,70.49,7.26,2025-04-30,Hyderabad,10,9
Gold 24K 1g,Gold,Market,5482.08,6086.11,6555.52,11.02,2023-01-12,Hyderabad,10,8
Silver 1g,Silver,Market,85.55,100.14,112.09,17.05,2023-03-22,Kolkata,7,12
Wheat Flour,Grocery,Britannia,75.51,86.67,95.64,14.78,2025-05-24,Hyderabad,3,13
Onion 1kg,Vegetable,Local,63.04,73.92,82.85,17.26,2023-05-12,Hyderabad,6,2
Silver 1g,Silver,Market,111.93,132.62,149.78,18.48,2023-12-23,Chennai,9,19
Silver 1g,Silver,Market,65.95,82.09,96.15,24.47,2023-08-21,Hyderabad,9,24
Premium Rice 1kg,Rice,Local,54.8,52.36,50.73,-4.45,2025-02-16,Delhi,8,21
Normal Rice 1kg,Rice,IndiaGate,38.88,49.39,58.74,27.03,2023-12-02,Pune,9,5
Gold 24K 1g,Gold,Market,7311.5,7755.12,8084.5,6.07,2023-12-11,Hyderabad,5,18
Silver 1g,Silver,Market,79.76,79.17,78.76,-0.74,2024-11-11,Mumbai,1,13
Gold 24K 1g,Gold,Market,6535.76,7473.28,8223.68,14.34,2023-03-15,Bangalore,3,16
Redmi Note 14,Mobile,Realme,69047.98,82712.73,94171.05,19.79,2024-06-17,Delhi,10,11
Lenovo LOQ,Laptop,Lenovo,51239.41,66150.57,79625.89,29.1,2023-01-22,Hyderabad,8,6
Asus TUF,Laptop,Asus,57821.18,67113.17,74662.83,16.07,2024-10-01,Delhi,5,16
OnePlus 12,Mobile,Apple,38099.67,37804.4,37599.31,-0.77,2023-12-19,Hyderabad,9,18
Silver 1g,Silver,Market,60.22,66.75,71.82,10.84,2023-08-20,Delhi,3,19
OnePlus 12,Mobile,Apple,15728.07,17991.88,19804.64,14.39,2025-05-05,Mumbai,10,1
Galaxy S24,Mobile,Xiaomi,42599.08,47600.24,51512.05,11.74,2025-03-08,Chennai,6,9
Silver 1g,Silver,Market,83.97,98.34,110.12,17.11,2024-09-19,Chennai,5,6
Silver 1g,Silver,Market,64.94,72.58,78.56,11.76,2023-09-05,Delhi,2,4
Gold 24K 1g,Gold,Market,6742.72,7495.72,8081.68,11.17,2024-11-09,Pune,9,3
Onion 1kg,Vegetable,Local,53.91,63.02,70.47,16.9,2025-04-29,Delhi,2,23
Galaxy S24,Mobile,Xiaomi,20583.39,22075.3,23195.33,7.25,2024-01-30,Bangalore,2,4
Tomato 1kg,Vegetable,Local,23.72,25.41,26.68,7.12,2023-04-27,Pune,9,7
Gold 22K 1g,Gold,Market,4724.91,5873.59,6873.15,24.31,2025-02-26,Pune,9,3
Petrol 1L,Fuel,HP,92.48,94.24,95.5,1.9,2025-05-18,Delhi,4,3
Petrol 1L,Fuel,IndianOil,79.39,96.07,110.2,21.01,2023-02-08,Chennai,1,2
Redmi Note 14,Mobile,Apple,15561.93,17252.67,18564.77,10.86,2024-11-19,Delhi,6,1
Normal Rice 1kg,Rice,Fortune,86.27,92.96,98.01,7.75,2024-07-02,Delhi,10,0
Milk 1L,Grocery,Aashirvaad,100.82,114.69,125.73,13.76,2024-12-22,Kolkata,7,0
Gold 24K 1g,Gold,Market,6996.19,7284.9,7495.34,4.13,2024-05-28,Mumbai,5,20
Premium Rice 1kg,Rice,Fortune,80.45,100.89,118.83,25.41,2025-05-26,Mumbai,3,11
Gold 22K 1g,Gold,Market,5511.29,6468.8,7255.5,17.37,2025-01-19,Bangalore,4,21
Petrol 1L,Fuel,BPCL,95.15,114.4,130.6,20.23,2023-12-20,Kolkata,6,24
Milk 1L,Grocery,Britannia,68.07,85.46,100.74,25.55,2023-11-28,Delhi,8,1
Premium Rice 1kg,Rice,Fortune,72.51,86.93,99.03,19.89,2024-05-10,Hyderabad,3,21
Milk 1L,Grocery,Madhur,36.93,46.41,54.75,25.67,2024-10-07,Mumbai,7,13
Silver 1g,Silver,Market,79.47,87.11,92.97,9.61,2023-09-30,Delhi,8,25
Dell Inspiron,Laptop,Dell,91401.08,101570.73,109481.55,11.13,2024-05-10,Hyderabad,9,5
iPhone 15,Mobile,Samsung,27433.08,34215.62,40137.24,24.72,2023-02-18,Bangalore,6,0
Silver 1g,Silver,Market,88.57,96.82,103.13,9.31,2024-03-05,Hyderabad,5,10
Dell Inspiron,Laptop,Dell,112640.48,120002.65,125493.0,6.54,2023-12-09,Mumbai,7,0
Redmi Note 14,Mobile,Samsung,30266.55,34096.74,37117.17,12.65,2023-04-24,Pune,7,11
Onion 1kg,Vegetable,Local,22.96,24.1,24.94,4.97,2024-06-14,Mumbai,10,4
Onion 1kg,Vegetable,Local,54.15,68.03,80.24,25.63,2024-04-16,Delhi,3,21
Dell Inspiron,Laptop,Dell,100659.08,115083.34,126627.2,14.33,2023-02-27,Bangalore,1,5
HP Victus,Laptop,HP,60899.4,71002.24,79247.43,16.59,2023-06-23,Mumbai,1,12
Diesel 1L,Fuel,HP,96.86,107.23,115.27,10.71,2024-11-13,Chennai,7,25
Wheat Flour,Grocery,Madhur,82.96,87.72,91.24,5.74,2024-08-17,Mumbai,1,18
Redmi Note 14,Mobile,Realme,32110.11,35213.47,37595.77,9.66,2024-03-23,Chennai,9,13
Asus TUF,Laptop,Asus,84157.8,103983.93,121131.71,23.56,2025-01-06,Chennai,4,19
Potato 1kg,Vegetable,Local,18.47,20.2,21.52,9.37,2023-08-11,Mumbai,1,10
Normal Rice 1kg,Rice,Local,79.89,83.97,86.97,5.11,2024-09-18,Mumbai,10,6
Normal Rice 1kg,Rice,IndiaGate,69.16,68.23,67.59,-1.34,2024-03-28,Pune,6,23
HP Victus,Laptop,HP,33045.14,36289.78,38784.04,9.82,2024-09-12,Kolkata,7,1
Potato 1kg,Vegetable,Local,17.89,20.19,22.01,12.86,2024-01-23,Delhi,2,7
Diesel 1L,Fuel,HP,94.01,103.85,111.46,10.47,2025-01-27,Chennai,5,16
Bread,Grocery,Amul,39.35,41.75,43.53,6.1,2023-10-10,Delhi,8,9
Gold 22K 1g,Gold,Market,5763.95,6825.57,7705.58,18.42,2024-02-29,Pune,3,10
Silver 1g,Silver,Market,82.8,88.97,93.61,7.45,2025-05-31,Kolkata,3,21
HP Victus,Laptop,Dell,105324.53,123572.75,138559.65,17.33,2024-09-01,Hyderabad,1,12
Gold 22K 1g,Gold,Market,7140.79,8018.69,8708.77,12.29,2025-03-20,Hyderabad,8,4
Premium Rice 1kg,Rice,Fortune,64.52,74.61,82.78,15.64,2023-09-12,Pune,2,13
Tomato 1kg,Vegetable,Local,62.36,69.6,75.26,11.61,2023-10-23,Mumbai,8,19
Silver 1g,Silver,Market,83.27,93.95,102.38,12.83,2024-07-11,Mumbai,2,21
Realme GT,Mobile,Samsung,53594.09,64990.54,74664.42,21.26,2023-05-17,Delhi,1,1
Gold 24K 1g,Gold,Market,6411.72,6923.29,7309.96,7.98,2024-12-03,Pune,6,18
Normal Rice 1kg,Rice,IndiaGate,78.12,90.72,100.96,16.13,2024-08-01,Chennai,6,24
Normal Rice 1kg,Rice,Local,73.81,87.15,98.18,18.07,2023-12-19,Hyderabad,2,23
Gold 22K 1g,Gold,Market,7288.44,8412.09,9319.91,15.42,2023-08-04,Bangalore,5,4
Gold 24K 1g,Gold,Market,6508.0,6388.58,6306.52,-1.83,2023-03-05,Delhi,1,19
Normal Rice 1kg,Rice,IndiaGate,68.55,69.93,70.92,2.01,2024-07-12,Hyderabad,8,17
Redmi Note 14,Mobile,OnePlus,65469.27,82500.56,97523.85,26.01,2023-09-24,Hyderabad,4,0
Gold 24K 1g,Gold,Market,6359.58,6917.14,7341.65,8.77,2023-03-18,Hyderabad,10,3
Dell Inspiron,Laptop,Dell,72261.94,88532.92,102487.18,22.52,2025-01-24,Kolkata,9,1
Gold 24K 1g,Gold,Market,5054.39,6050.1,6884.4,19.7,2023-03-19,Bangalore,9,20
Onion 1kg,Vegetable,Local,24.05,28.28,31.76,17.59,2024-01-17,Hyderabad,6,4
Gold 22K 1g,Gold,Market,5922.04,6069.27,6174.89,2.49,2024-06-26,Mumbai,6,16
Asus TUF,Laptop,Lenovo,95959.21,95468.62,95126.96,-0.51,2023-11-22,Delhi,8,15
Lenovo LOQ,Laptop,Lenovo,71743.84,71391.05,71145.31,-0.49,2025-02-26,Mumbai,8,19
Petrol 1L,Fuel,BPCL,90.57,106.49,119.59,17.58,2024-07-19,Pune,7,2
Silver 1g,Silver,Market,88.74,111.65,131.83,25.82,2023-11-29,Pune,8,13
Bread,Grocery,Amul,117.43,124.47,129.69,6.0,2023-05-13,Mumbai,2,17
Normal Rice 1kg,Rice,Fortune,71.65,83.11,92.42,15.99,2023-12-05,Kolkata,9,8
Galaxy S24,Mobile,OnePlus,21700.72,23732.12,25287.21,9.36,2024-04-30,Pune,2,21
Lenovo LOQ,Laptop,Asus,98248.23,113003.97,124884.29,15.02,2025-01-29,Pune,1,3
Redmi Note 14,Mobile,Xiaomi,21947.44,23568.59,24787.22,7.39,2024-09-04,Pune,5,21
Normal Rice 1kg,Rice,Fortune,77.3,90.67,101.65,17.3,2024-10-01,Mumbai,9,11
Wheat Flour,Grocery,Aashirvaad,80.39,93.93,105.0,16.84,2024-04-12,Mumbai,6,21
Onion 1kg,Vegetable,Local,61.68,68.15,73.15,10.49,2024-03-01,Delhi,6,23
Petrol 1L,Fuel,IndianOil,73.54,90.7,105.51,23.33,2023-06-09,Pune,8,11
Normal Rice 1kg,Rice,IndiaGate,48.35,59.6,69.31,23.27,2024-11-18,Chennai,10,16
Diesel 1L,Fuel,BPCL,89.59,102.9,113.6,14.86,2024-08-19,Delhi,2,12
HP Victus,Laptop,Dell,101040.31,108604.93,114296.6,7.49,2025-04-30,Hyderabad,1,11
OnePlus 12,Mobile,Samsung,50555.7,59413.71,66700.74,17.52,2023-01-23,Mumbai,6,8
Petrol 1L,Fuel,BPCL,99.59,123.01,143.26,23.52,2023-12-29,Mumbai,2,23
Petrol 1L,Fuel,IndianOil,73.69,91.84,107.67,24.63,2025-02-22,Pune,2,19
Realme GT,Mobile,Apple,77726.61,91773.31,103382.96,18.07,2024-08-20,Pune,7,18
Bread,Grocery,Britannia,84.22,84.31,84.37,0.11,2024-04-04,Chennai,8,14
Potato 1kg,Vegetable,Local,37.07,45.61,52.97,23.04,2023-03-30,Bangalore,9,11
OnePlus 12,Mobile,Apple,64127.0,62228.77,60939.34,-2.96,2024-10-01,Chennai,8,0
Normal Rice 1kg,Rice,IndiaGate,79.95,91.48,100.71,14.42,2023-08-29,Hyderabad,2,19
Diesel 1L,Fuel,IndianOil,80.83,83.27,85.03,3.02,2023-08-25,Delhi,2,9
Sugar 1kg,Grocery,Aashirvaad,99.53,96.82,94.97,-2.72,2025-04-14,Delhi,4,18
Realme GT,Mobile,Xiaomi,44334.14,52906.73,60067.88,19.34,2024-11-29,Chennai,6,9
Gold 24K 1g,Gold,Market,6771.81,7671.98,8385.86,13.29,2024-01-02,Kolkata,1,3
Wheat Flour,Grocery,Amul,58.86,60.2,61.16,2.28,2025-02-09,Pune,6,25
Normal Rice 1kg,Rice,IndiaGate,71.16,83.33,93.31,17.1,2024-08-07,Bangalore,1,6
Milk 1L,Grocery,Britannia,90.98,97.21,101.87,6.85,2024-12-11,Mumbai,4,21
Premium Rice 1kg,Rice,Local,56.36,61.02,64.55,8.27,2023-11-01,Kolkata,10,9
Diesel 1L,Fuel,BPCL,108.21,124.78,138.16,15.31,2025-02-19,Delhi,9,23
OnePlus 12,Mobile,Realme,25011.88,26381.45,27392.64,5.48,2024-12-17,Bangalore,1,18
Onion 1kg,Vegetable,Local,20.39,23.33,25.68,14.42,2023-06-21,Kolkata,3,6
Normal Rice 1kg,Rice,IndiaGate,66.54,82.76,96.88,24.38,2024-10-29,Bangalore,10,3
Gold 24K 1g,Gold,Market,5094.59,5952.81,6654.77,16.85,2024-02-19,Mumbai,1,20
Diesel 1L,Fuel,BPCL,109.51,117.66,123.79,7.44,2023-07-22,Chennai,10,10
Potato 1kg,Vegetable,Local,38.44,46.37,53.07,20.63,2024-04-01,Hyderabad,10,19
Redmi Note 14,Mobile,Apple,33584.23,34735.73,35569.42,3.43,2025-01-08,Kolkata,9,14
Onion 1kg,Vegetable,Local,56.34,58.63,60.3,4.06,2024-02-03,Chennai,9,21
Premium Rice 1kg,Rice,Fortune,59.2,67.99,75.06,14.85,2025-03-09,Bangalore,6,0
Silver 1g,Silver,Market,105.57,119.6,130.73,13.29,2023-04-26,Delhi,9,19
Bread,Grocery,Britannia,28.75,33.39,37.16,16.14,2025-02-21,Hyderabad,6,14
Asus TUF,Laptop,HP,65997.86,73373.11,79112.71,11.17,2024-03-05,Pune,10,18
Gold 22K 1g,Gold,Market,4589.95,5093.59,5484.82,10.97,2023-05-18,Delhi,3,17
Bread,Grocery,Amul,28.48,31.35,33.56,10.08,2023-08-26,Pune,3,13
Gold 24K 1g,Gold,Market,5586.74,7464.57,9220.88,33.61,2023-10-17,Bangalore,3,0
Wheat Flour,Grocery,Amul,90.32,107.54,121.89,19.07,2023-06-20,Bangalore,3,8
Sugar 1kg,Grocery,Amul,83.14,87.82,91.28,5.63,2025-03-04,Mumbai,2,5
Gold 24K 1g,Gold,Market,6775.84,7920.62,8857.35,16.9,2023-12-16,Kolkata,7,2
Sugar 1kg,Grocery,Amul,65.66,67.89,69.5,3.4,2025-04-02,Chennai,1,25
Silver 1g,Silver,Market,108.67,132.66,153.16,22.08,2025-01-25,Delhi,5,11
Realme GT,Mobile,Xiaomi,69683.34,81584.66,91338.43,17.08,2024-05-07,Mumbai,5,13
OnePlus 12,Mobile,Samsung,36166.08,45107.08,52913.06,24.72,2023-07-07,Delhi,10,4
Diesel 1L,Fuel,IndianOil,97.35,98.32,99.01,1.0,2024-10-15,Hyderabad,8,2
Gold 24K 1g,Gold,Market,6216.57,6017.19,5882.1,-3.21,2025-01-19,Delhi,6,6
Potato 1kg,Vegetable,Local,36.68,45.38,52.91,23.72,2023-07-21,Chennai,1,4
Silver 1g,Silver,Market,99.4,102.41,104.58,3.03,2024-12-01,Hyderabad,9,24
Diesel 1L,Fuel,IndianOil,111.65,131.98,148.8,18.21,2023-09-08,Hyderabad,2,2
Diesel 1L,Fuel,HP,96.29,127.3,156.0,32.2,2024-06-15,Mumbai,5,14
Gold 22K 1g,Gold,Market,5134.81,5795.8,6318.05,12.87,2025-01-25,Hyderabad,10,12
