Product_Name,Category,Brand,Previous_Price,Current_Price,Growth_Rate,Future_Price,Date,Location,Discount,Quantity
Silver Coin 100g,Silver,Malabar Gold,84468.31,81998.39,-0.0292,75023.03,2024-07-30,Ahmedabad,29.2,96
Water Purifier RO,Home Appliances,Kent,24035.63,20980.95,-0.1271,13954.64,2024-11-19,Kolkata,16.0,400
Silver Coin 100g,Silver,Malabar Gold,81608.17,72366.36,-0.1132,50467.73,2024-09-16,Delhi,19.6,166
Casual T-Shirt,Clothing,H&M,8315.26,10786.3,0.2972,23544.71,2023-08-31,Delhi,9.2,470
Iodized Salt 1kg,Grocery,Catch,797.06,1001.12,0.256,1983.6,2023-12-18,Hyderabad,25.8,211
Bandage Roll 5m,Medicine,Johnson & Johnson,606.14,638.92,0.0541,748.33,2024-01-15,Pune,15.8,293
Engineering Textbook,Books,Pearson,2842.54,3242.64,0.1408,4814.23,2024-09-16,Ahmedabad,1.2,443
Vitamin D3 60tabs,Medicine,Dr Reddys,373.3,468.35,0.2546,924.88,2024-02-10,Kolkata,23.0,129
Apple 1kg,Fruits and Vegetables,Nature Basket,237.47,230.82,-0.028,211.97,2025-11-05,Mumbai,8.6,365
Pain Relief Gel 30g,Medicine,Himalaya,254.88,268.21,0.0523,312.53,2024-01-14,Kolkata,12.3,441
Denim Jeans,Clothing,Levis,5806.01,6284.15,0.0824,7969.11,2024-03-23,Chennai,13.7,429
Bluetooth Speaker,Electronics,Sony,64627.75,72496.33,0.1218,102343.99,2023-07-12,Hyderabad,12.7,178
Banana 1dz,Fruits and Vegetables,Reliance Fresh,248.08,317.35,0.2792,664.28,2023-09-30,Delhi,11.2,354
Gold 24K 10g,Gold,Tanishq,28336.47,32140.62,0.1342,46894.64,2024-12-14,Bangalore,28.1,450
Mountain Bicycle,Vehicles,Hero Cycles,513808.25,524972.28,0.0217,559894.95,2025-08-18,Delhi,22.5,391
Hatchback Car,Vehicles,Tata Motors,1612648.27,1720804.45,0.0671,2090965.56,2025-07-26,Pune,9.9,276
Vivo X100,Mobiles,Vivo,128268.3,138127.61,0.0769,172506.96,2023-03-26,Mumbai,2.4,486
MSI Creator 16,Laptops,MSI,49095.43,57756.28,0.1764,94029.53,2024-05-01,Hyderabad,13.6,487
Competitive Exam Guide,Books,Arihant,929.23,1110.26,0.1948,1893.7,2024-06-19,Hyderabad,9.7,171
OnePlus 12,Mobiles,OnePlus,55250.83,72874.63,0.319,167228.68,2023-04-29,Mumbai,13.6,108
Paracetamol 500mg,Medicine,Cipla,297.58,282.82,-0.0496,242.79,2024-01-16,Chennai,20.4,7
Aviation Fuel 1L,Fuel,IOCL,508.14,612.03,0.2045,1069.53,2025-08-19,Kolkata,20.7,463
Silver Bar 1kg,Silver,Tanishq,79623.52,88671.56,0.1136,122453.73,2023-01-17,Chennai,17.5,413
Competitive Exam Guide,Books,Arihant,529.72,574.0,0.0836,730.33,2025-08-06,Mumbai,28.0,356
LPG Cylinder 14.2kg,Fuel,Indane,39.51,46.44,0.1754,75.41,2025-05-02,Bangalore,4.5,35
Diesel 1L,Fuel,Bharat Petroleum,689.69,837.21,0.2139,1497.56,2023-09-20,Jaipur,4.7,356
Denim Jeans,Clothing,Levis,8979.54,11168.49,0.2438,21490.48,2024-03-26,Jaipur,0.7,281
Toor Dal 2kg,Grocery,Tata,456.62,388.65,-0.1489,239.61,2025-07-07,Chennai,8.2,401
Nothing Phone 2,Mobiles,Nothing,31345.02,28112.52,-0.1031,20282.98,2024-01-11,Kolkata,13.9,448
Projector HD,Electronics,Epson,92320.38,116804.93,0.2652,236558.59,2023-11-13,Lucknow,27.4,309
Sport Shoes,Clothing,Nike,12108.64,14445.76,0.193,24527.98,2024-01-06,Pune,13.4,483
Electric Car,Vehicles,MG Motors,2281934.21,2032222.8,-0.1094,1435553.53,2024-01-01,Bangalore,27.8,148
DSLR Camera,Electronics,Canon,57911.55,63720.12,0.1003,84880.89,2023-02-26,Delhi,28.8,379
Fiction Novel,Books,Penguin,2749.25,2879.94,0.0475,3310.13,2023-08-14,Hyderabad,29.8,460
Formal Shirt,Clothing,Raymond,970.89,1163.09,0.198,1999.79,2024-04-27,Pune,7.7,187
Denim Jeans,Clothing,Levis,12764.21,13343.71,0.0454,15244.88,2025-03-03,Delhi,17.1,208
Graphics Card RTX 4060,Computer Components,NVIDIA,21580.32,24513.03,0.1359,35926.7,2023-04-22,Lucknow,23.5,457
OnePlus 12,Mobiles,OnePlus,113263.02,125290.04,0.1062,169596.74,2024-07-07,Lucknow,24.2,276
Air Conditioner 1.5T,Home Appliances,Whirlpool,49504.24,49534.93,0.0006,49624.15,2023-07-31,Hyderabad,16.1,481
Refrigerator 300L,Home Appliances,Samsung,70501.81,62014.85,-0.1204,42203.78,2023-09-12,Delhi,24.4,412
Projector HD,Electronics,Epson,103304.92,116806.21,0.1307,168852.74,2024-07-24,Mumbai,19.8,274
"Tablet 10""",Electronics,Xiaomi,140982.38,153948.56,0.092,200467.3,2025-03-30,Pune,4.6,102
Diesel 1L,Fuel,Bharat Petroleum,871.96,1051.45,0.2058,1843.38,2024-04-03,Ahmedabad,8.1,429
Sedan Car,Vehicles,Maruti Suzuki,973911.79,1149100.67,0.1799,1887529.21,2024-03-30,Bangalore,21.3,396
Acer Nitro 5,Laptops,Acer,200322.01,250881.48,0.2524,492830.73,2025-03-26,Bangalore,25.6,338
Silver Chain 50g,Silver,MMTC-PAMP,33918.07,35917.33,0.0589,42645.08,2023-08-25,Delhi,11.4,127
Compact SUV,Vehicles,Hyundai,2484612.74,3303612.68,0.3296,7765191.02,2024-07-07,Lucknow,4.9,368
Flight International,Travel Tickets,Air India,8617.68,9715.66,0.1274,13922.15,2023-09-03,Mumbai,18.3,172
ASUS ROG Strix,Laptops,ASUS,43730.26,42755.18,-0.0223,39958.17,2023-04-19,Mumbai,21.1,421
Silver Chain 50g,Silver,MMTC-PAMP,61425.76,59598.67,-0.0297,54444.58,2024-02-21,Ahmedabad,10.3,408
OnePlus 12,Mobiles,OnePlus,111522.53,135798.68,0.2177,245197.74,2023-03-31,Pune,10.9,369
Processor i7 14th Gen,Computer Components,Intel,79154.7,96948.6,0.2248,178130.0,2023-10-04,Chennai,25.0,342
Silver Chain 50g,Silver,MMTC-PAMP,68129.18,54860.86,-0.1948,28640.06,2025-11-04,Bangalore,28.4,249
Paracetamol 500mg,Medicine,Cipla,141.18,188.21,0.3331,445.89,2025-05-17,Bangalore,16.1,445
Sugar 5kg,Grocery,Trust,1277.59,1070.58,-0.162,630.02,2023-02-17,Jaipur,18.4,349
Sport Shoes,Clothing,Nike,931.67,892.34,-0.0422,784.07,2025-04-07,Mumbai,17.7,416
Gold 24K 10g,Gold,Tanishq,33392.18,41379.78,0.2392,78743.08,2025-03-15,Kolkata,28.7,319
Cabinet Mid Tower,Computer Components,NZXT,70073.69,82062.83,0.1711,131803.95,2025-03-07,Delhi,3.1,389
Flight Domestic,Travel Tickets,IndiGo,16268.07,14994.3,-0.0783,11740.73,2025-12-27,Bangalore,11.1,101
Sport Shoes,Clothing,Nike,6940.47,8372.06,0.2063,14695.97,2024-06-27,Hyderabad,0.8,317
Train AC 2-Tier,Travel Tickets,IRCTC,15075.45,12821.04,-0.1495,7887.62,2025-05-06,Ahmedabad,6.1,335
Silver Bangle 40g,Silver,Joyalukkas,1640.97,1853.69,0.1296,2671.84,2024-02-05,Chennai,29.3,151
OnePlus 12,Mobiles,OnePlus,100536.87,92269.5,-0.0822,71334.94,2023-10-20,Delhi,15.9,5
Science Encyclopedia,Books,DK Publishing,1172.24,1621.59,0.3833,4292.3,2023-07-09,Bangalore,10.2,153
Bluetooth Speaker,Electronics,Sony,64413.1,59546.05,-0.0756,47036.26,2024-11-17,Jaipur,29.8,57
Competitive Exam Guide,Books,Arihant,584.24,619.3,0.06,737.6,2023-07-26,Hyderabad,26.2,204
Silver Anklet 30g,Silver,Senco,54957.44,63182.12,0.1497,96016.92,2023-07-04,Delhi,7.6,208
Notebook Set 5pcs,Books,Classmate,3153.51,3081.86,-0.0227,2876.71,2024-04-27,Ahmedabad,22.9,472
Compact SUV,Vehicles,Hyundai,394120.78,437336.65,0.1097,597630.33,2023-03-18,Ahmedabad,10.3,4
ASUS ROG Strix,Laptops,ASUS,238733.2,227502.19,-0.047,196908.42,2024-12-13,Hyderabad,4.8,257
MSI Creator 16,Laptops,MSI,167831.76,195602.06,0.1655,309677.93,2023-12-06,Lucknow,18.2,96
Silver Anklet 30g,Silver,Senco,39542.7,34710.3,-0.1222,23477.13,2024-01-11,Bangalore,11.2,254
Bus Non-AC,Travel Tickets,KSRTC,39442.49,35750.19,-0.0936,26621.84,2024-07-02,Chennai,28.5,282
Casual T-Shirt,Clothing,H&M,9365.73,8659.35,-0.0754,6844.58,2024-04-07,Mumbai,6.5,433
"Tablet 10""",Electronics,Xiaomi,97890.93,110122.12,0.1249,156753.16,2025-05-15,Delhi,16.4,206
Gold 22K 10g,Gold,Malabar Gold,93888.03,79408.24,-0.1542,48047.26,2024-03-24,Kolkata,26.7,477
Kerosene 1L,Fuel,BPCL,484.31,433.04,-0.1059,309.52,2025-11-13,Chennai,25.5,83
Flight Domestic,Travel Tickets,IndiGo,763.14,1024.78,0.3428,2481.22,2023-08-20,Chennai,2.0,218
Compact SUV,Vehicles,Hyundai,1516770.54,1193411.82,-0.2132,581277.33,2023-05-13,Pune,6.9,413
Gold Ring 5g,Gold,Senco Gold,86297.59,100487.69,0.1644,158642.47,2023-08-27,Lucknow,4.1,254
Bus Volvo AC,Travel Tickets,RedBus,1632.27,1635.3,0.0019,1644.64,2024-11-30,Bangalore,1.4,205
Instant Coffee 250g,Grocery,Nescafe,651.75,621.15,-0.047,537.62,2025-10-28,Mumbai,5.0,141
Sugar 5kg,Grocery,Trust,1002.84,969.95,-0.0328,877.6,2024-02-26,Delhi,2.3,254
LPG Cylinder 14.2kg,Fuel,Indane,55.93,66.22,0.184,109.91,2023-08-02,Hyderabad,16.8,313
Electric Scooter,Vehicles,Ather,1766829.8,1767339.16,0.0003,1768930.24,2024-02-08,Mumbai,10.0,377
Electric Car,Vehicles,MG Motors,1904022.5,1484640.55,-0.2203,703726.53,2023-12-26,Hyderabad,28.8,479
Petrol 1L,Fuel,Indian Oil,141.66,176.67,0.2471,342.66,2024-03-23,Chennai,29.8,293
Gold Coin 5g,Gold,Kalyan Jewellers,56571.63,62761.68,0.1094,85695.7,2025-03-12,Bangalore,8.6,236
OnePlus 12,Mobiles,OnePlus,93668.97,109738.4,0.1716,176480.49,2023-11-12,Bangalore,19.8,369
Xiaomi 14,Mobiles,Xiaomi,139858.57,155177.17,0.1095,211938.45,2025-07-20,Kolkata,12.7,491
Silver Anklet 30g,Silver,Senco,4539.81,5943.54,0.3092,13337.15,2025-03-25,Hyderabad,7.8,81
MacBook Air M3,Laptops,Apple,196000.31,169342.77,-0.136,109221.44,2023-09-11,Lucknow,6.2,462
"Monitor 27"" 165Hz",Computer Components,LG,39936.45,35430.03,-0.1128,24742.08,2024-09-08,Delhi,22.9,173
Mountain Bicycle,Vehicles,Hero Cycles,1498293.49,1407834.49,-0.0604,1167832.68,2025-06-09,Mumbai,25.5,331
Sedan Car,Vehicles,Maruti Suzuki,333877.62,338105.76,0.0127,351151.88,2025-05-03,Bangalore,7.0,231
Programming Guide,Books,OReilly,155.21,182.78,0.1776,298.48,2024-02-10,Jaipur,2.6,260
Cabinet Mid Tower,Computer Components,NZXT,29831.27,34770.53,0.1656,55063.01,2025-12-15,Chennai,13.3,38
Cough Syrup 100ml,Medicine,Sun Pharma,331.62,401.1,0.2095,709.69,2024-05-25,Delhi,14.3,55
"Tablet 10""",Electronics,Xiaomi,83924.63,89444.89,0.0658,108288.59,2023-04-07,Hyderabad,4.9,205
Bandage Roll 5m,Medicine,Johnson & Johnson,560.89,753.07,0.3426,1822.53,2023-05-17,Jaipur,29.1,431
Nothing Phone 2,Mobiles,Nothing,17170.23,18728.17,0.0907,24300.28,2024-07-18,Pune,4.3,312
Smart Watch,Electronics,Apple,69126.27,79803.51,0.1545,122801.54,2024-11-20,Chennai,17.1,276
Cabinet Mid Tower,Computer Components,NZXT,19413.66,26710.32,0.3759,69572.84,2024-04-22,Delhi,3.0,404
Processor i7 14th Gen,Computer Components,Intel,20548.4,20118.2,-0.0209,18882.97,2023-10-25,Lucknow,21.1,177
Pain Relief Gel 30g,Medicine,Himalaya,724.11,951.51,0.314,2158.74,2025-07-09,Mumbai,22.2,262
Motorcycle 150cc,Vehicles,Royal Enfield,2290508.03,2370151.41,0.0348,2626306.15,2024-06-23,Jaipur,1.5,357
CNG 1kg,Fuel,HP Gas,787.32,959.69,0.2189,1737.94,2023-07-25,Bangalore,27.4,157
Vacuum Cleaner,Home Appliances,Dyson,61204.01,81117.94,0.3254,188867.75,2025-03-20,Kolkata,18.7,33
Premium Tea 500g,Grocery,Tata Tea,456.48,707.85,0.5507,2639.52,2025-02-25,Hyderabad,22.7,489
iPhone 15 Pro,Mobiles,Apple,69255.36,82842.92,0.1962,141796.92,2025-03-22,Jaipur,11.2,198
Vitamin D3 60tabs,Medicine,Dr Reddys,572.79,763.08,0.3322,1804.17,2024-09-15,Pune,6.2,407
Bus Volvo AC,Travel Tickets,RedBus,16282.96,11809.57,-0.2747,4505.96,2025-10-31,Mumbai,10.5,500
Premium Tea 500g,Grocery,Tata Tea,1056.81,1105.93,0.0465,1267.49,2023-12-07,Lucknow,11.3,179
Flight Domestic,Travel Tickets,IndiGo,15863.05,15836.96,-0.0016,15761.06,2023-06-21,Jaipur,6.5,477
Silver Anklet 30g,Silver,Senco,91526.73,94378.55,0.0312,103490.86,2024-09-24,Bangalore,29.2,97
Art & Design Book,Books,Phaidon,1741.08,1979.53,0.137,2909.67,2024-06-24,Ahmedabad,4.1,279
Spinach 500g,Fruits and Vegetables,More Supermarket,54.86,50.35,-0.0822,38.93,2025-06-27,Hyderabad,20.1,276
"Monitor 27"" 165Hz",Computer Components,LG,76746.11,94762.11,0.2347,178368.87,2025-01-09,Hyderabad,22.0,99
Gold Chain 10g,Gold,PC Jeweller,120309.38,142190.22,0.1819,234753.42,2025-10-01,Delhi,8.0,150
Motorcycle 150cc,Vehicles,Royal Enfield,361263.94,441966.83,0.2234,809273.1,2024-07-06,Chennai,14.6,209
Kurta Set,Clothing,Manyavar,5085.71,6227.89,0.2246,11437.3,2023-02-22,Mumbai,14.8,274
Metro Monthly Pass,Travel Tickets,DMRC,9388.45,9796.74,0.0435,11131.63,2025-12-05,Ahmedabad,15.3,483
Art & Design Book,Books,Phaidon,1820.16,1481.49,-0.1861,798.75,2024-03-05,Kolkata,1.4,299
Diesel 1L,Fuel,Bharat Petroleum,627.72,753.93,0.2011,1306.38,2025-06-19,Pune,19.9,168
Gold Ring 5g,Gold,Senco Gold,88282.9,90456.33,0.0246,97297.58,2023-03-27,Jaipur,16.2,465
Gold 22K 10g,Gold,Malabar Gold,69024.94,88273.89,0.2789,184646.9,2025-11-21,Bangalore,27.6,148
Silver Bangle 40g,Silver,Joyalukkas,72795.18,80532.8,0.1063,109041.43,2025-10-13,Pune,8.9,230
Air Conditioner 1.5T,Home Appliances,Whirlpool,14441.81,16268.47,0.1265,23256.28,2024-06-19,Lucknow,4.6,17
Premium Tea 500g,Grocery,Tata Tea,247.08,229.54,-0.071,184.04,2024-04-04,Mumbai,6.8,198
Bus Non-AC,Travel Tickets,KSRTC,20370.37,19011.6,-0.0667,15455.48,2025-07-04,Pune,5.7,290
Silk Saree,Clothing,Fabindia,13729.2,17709.61,0.2899,38008.18,2025-02-22,Bangalore,21.8,283
OnePlus 12,Mobiles,OnePlus,25359.91,31568.44,0.2448,60890.83,2024-08-17,Pune,25.9,215
Formal Shirt,Clothing,Raymond,9289.94,12664.66,0.3633,32089.86,2025-04-05,Jaipur,9.6,110
Air Purifier,Home Appliances,Philips,32135.89,36681.36,0.1414,54545.51,2025-01-29,Ahmedabad,11.4,95
Denim Jeans,Clothing,Levis,12220.66,14175.73,0.16,22126.84,2025-07-26,Kolkata,18.0,24
Wireless Earbuds,Electronics,JBL,145693.02,182355.79,0.2516,357533.07,2024-06-12,Delhi,14.7,284
Air Conditioner 1.5T,Home Appliances,Whirlpool,46586.38,42971.58,-0.0776,33724.01,2024-12-04,Mumbai,13.5,105
"Monitor 27"" 165Hz",Computer Components,LG,40130.84,31004.24,-0.2274,14298.33,2023-04-04,Pune,12.8,68
RAM DDR5 16GB,Computer Components,Corsair,38140.79,30825.45,-0.1918,16272.94,2023-07-05,Lucknow,7.4,64
LPG Cylinder 14.2kg,Fuel,Indane,470.0,400.27,-0.1484,247.21,2024-01-24,Ahmedabad,7.6,6
Carrot 1kg,Fruits and Vegetables,Star Bazaar,273.58,274.3,0.0026,276.45,2023-11-26,Hyderabad,16.4,275
Apple 1kg,Fruits and Vegetables,Nature Basket,40.18,35.84,-0.108,25.44,2025-02-04,Kolkata,8.4,271
Mango 1kg,Fruits and Vegetables,DMart,128.98,148.32,0.1499,225.52,2025-10-08,Mumbai,23.6,258
Competitive Exam Guide,Books,Arihant,118.75,127.88,0.0769,159.71,2025-05-20,Jaipur,4.0,27
Toor Dal 2kg,Grocery,Tata,1289.88,1290.71,0.0006,1293.03,2024-03-16,Bangalore,18.1,111
Flight International,Travel Tickets,Air India,31439.0,31619.94,0.0058,32173.32,2025-07-12,Hyderabad,23.1,306
Nothing Phone 2,Mobiles,Nothing,31764.79,40716.52,0.2818,85749.47,2024-01-05,Delhi,14.6,324
Vacuum Cleaner,Home Appliances,Dyson,30064.07,35609.34,0.1844,59164.22,2025-05-16,Ahmedabad,8.4,119
Projector HD,Electronics,Epson,7088.49,7649.66,0.0792,9614.97,2024-10-07,Hyderabad,0.4,145
OnePlus 12,Mobiles,OnePlus,50290.27,61300.15,0.2189,111010.94,2024-09-26,Delhi,15.3,105
Vivo X100,Mobiles,Vivo,116184.44,135851.39,0.1693,217191.06,2024-02-12,Lucknow,15.3,257
Silver Bangle 40g,Silver,Joyalukkas,56085.95,59308.85,0.0575,70139.17,2023-06-01,Bangalore,9.0,277
Gold Bangle 20g,Gold,Joyalukkas,70267.33,75492.72,0.0744,93627.42,2023-08-08,Ahmedabad,17.4,440
Winter Jacket,Clothing,Woodland,5996.09,6550.42,0.0924,8539.14,2024-12-19,Kolkata,5.3,204
"Monitor 27"" 165Hz",Computer Components,LG,17470.47,18718.57,0.0714,23021.18,2024-02-23,Chennai,22.7,313
Water Purifier RO,Home Appliances,Kent,44691.9,49727.35,0.1127,68506.15,2025-10-08,Ahmedabad,28.5,126
Gold 24K 10g,Gold,Tanishq,125969.17,120305.8,-0.045,104784.41,2023-08-25,Bangalore,27.0,118
Art & Design Book,Books,Phaidon,1453.79,1348.63,-0.0723,1076.75,2024-03-22,Mumbai,15.4,276
HP Pavilion 15,Laptops,HP,222167.54,212202.58,-0.0449,184883.09,2024-02-18,Delhi,14.6,51
Acer Nitro 5,Laptops,Acer,172393.02,191807.05,0.1126,264168.93,2024-08-28,Ahmedabad,26.9,497
Gold Chain 10g,Gold,PC Jeweller,108510.19,144902.03,0.3354,345071.1,2023-06-24,Pune,12.8,303
Flight Domestic,Travel Tickets,IndiGo,32710.56,26707.18,-0.1835,14537.73,2023-07-14,Ahmedabad,1.8,177
RAM DDR5 16GB,Computer Components,Corsair,9952.09,10700.42,0.0752,13300.52,2025-02-15,Lucknow,19.2,465
Gold 24K 10g,Gold,Tanishq,58969.67,64072.15,0.0865,82178.55,2023-06-13,Jaipur,28.1,446
Ethnic Dress,Clothing,Biba,5766.36,5130.79,-0.1102,3614.61,2024-09-13,Bangalore,21.9,155
Power Supply 750W,Computer Components,Cooler Master,22445.96,22338.47,-0.0048,22018.34,2023-12-01,Jaipur,14.3,464
Formal Shirt,Clothing,Raymond,10057.78,10741.85,0.068,13085.58,2025-03-07,Pune,10.3,45
DSLR Camera,Electronics,Canon,74940.58,77055.8,0.0282,83760.28,2023-08-23,Delhi,27.2,169
Mountain Bicycle,Vehicles,Hero Cycles,495171.98,505732.29,0.0213,538741.81,2025-06-11,Jaipur,8.5,433
Fiction Novel,Books,Penguin,1029.99,1153.25,0.1197,1618.93,2025-09-06,Ahmedabad,13.2,228
Water Purifier RO,Home Appliances,Kent,17372.64,20627.58,0.1874,34533.41,2024-09-26,Lucknow,6.8,208
Art & Design Book,Books,Phaidon,1180.87,1170.69,-0.0086,1140.75,2025-04-22,Jaipur,4.0,336
iPhone 15 Pro,Mobiles,Apple,149608.71,129080.5,-0.1372,82906.97,2025-03-24,Ahmedabad,5.6,384
Diesel 1L,Fuel,Bharat Petroleum,336.16,372.32,0.1076,505.9,2023-07-29,Bangalore,23.9,301
Train Sleeper,Travel Tickets,IRCTC,15991.6,16864.88,0.0546,19780.92,2025-12-13,Mumbai,19.5,174
Microwave Oven 25L,Home Appliances,IFB,30415.61,33234.23,0.0927,43359.92,2025-07-18,Delhi,14.8,253
Amoxicillin 500mg,Medicine,Lupin,166.12,195.91,0.1793,321.31,2023-07-28,Hyderabad,23.9,341
Bus Volvo AC,Travel Tickets,RedBus,25079.95,27656.88,0.1027,37083.04,2024-03-05,Lucknow,16.9,225
Realme GT 5 Pro,Mobiles,Realme,50399.13,56669.69,0.1244,80558.87,2025-05-13,Kolkata,25.0,241
Refrigerator 300L,Home Appliances,Samsung,10511.78,10501.91,-0.0009,10473.58,2025-09-08,Chennai,29.6,494
Mountain Bicycle,Vehicles,Hero Cycles,1721069.62,1626369.43,-0.055,1372507.19,2024-07-16,Lucknow,11.7,42
Basmati Rice 5kg,Grocery,India Gate,588.47,769.14,0.307,1717.24,2025-12-01,Kolkata,28.0,243
Xiaomi 14,Mobiles,Xiaomi,147309.49,175709.28,0.1928,298193.1,2024-02-02,Kolkata,6.8,92
Gold Coin 5g,Gold,Kalyan Jewellers,105025.29,123076.02,0.1719,198082.04,2024-05-04,Ahmedabad,13.1,63
Casual T-Shirt,Clothing,H&M,6025.29,6911.29,0.147,10429.16,2024-03-24,Mumbai,28.8,422
Motherboard Z790,Computer Components,ASUS,18134.04,18338.89,0.0113,18967.63,2025-01-08,Mumbai,1.7,247
Realme GT 5 Pro,Mobiles,Realme,60892.71,56103.09,-0.0787,43872.26,2025-04-21,Ahmedabad,25.9,28
Reference Manual,Books,McGraw Hill,2299.83,2101.97,-0.086,1604.96,2025-01-12,Mumbai,27.9,49
Bus Non-AC,Travel Tickets,KSRTC,23260.69,31213.03,0.3419,75421.71,2024-11-09,Delhi,12.4,92
Processor i7 14th Gen,Computer Components,Intel,39623.31,40057.34,0.011,41393.83,2025-01-30,Pune,23.4,464
Potato 1kg,Fruits and Vegetables,FreshToHome,57.23,56.19,-0.0182,53.18,2023-12-20,Mumbai,16.6,455
Diesel 1L,Fuel,Bharat Petroleum,450.74,446.4,-0.0096,433.67,2025-05-13,Pune,21.5,21
Denim Jeans,Clothing,Levis,4574.32,4119.25,-0.0995,3007.94,2023-03-05,Jaipur,27.8,249
Water Purifier RO,Home Appliances,Kent,62058.44,80309.57,0.2941,174048.71,2024-07-08,Bangalore,20.1,343
Microwave Oven 25L,Home Appliances,IFB,56385.6,49351.31,-0.1248,33084.2,2023-06-07,Pune,15.7,371
"Smart TV 55""",Electronics,Samsung,137480.44,117874.56,-0.1426,74296.87,2025-03-05,Lucknow,1.1,61
Pain Relief Gel 30g,Medicine,Himalaya,326.94,444.85,0.3606,1120.48,2024-03-13,Pune,6.3,204
Air Conditioner 1.5T,Home Appliances,Whirlpool,50754.52,51314.61,0.011,53026.69,2023-06-30,Kolkata,10.0,462
Instant Coffee 250g,Grocery,Nescafe,1002.43,1152.95,0.1502,1754.41,2025-12-01,Ahmedabad,9.5,100
OnePlus 12,Mobiles,OnePlus,113013.21,90340.64,-0.2006,46150.41,2023-07-10,Hyderabad,17.8,315
HP Pavilion 15,Laptops,HP,76500.5,96708.13,0.2642,195393.6,2023-04-10,Kolkata,9.7,29
Gold 24K 10g,Gold,Tanishq,119901.31,116779.81,-0.026,107905.76,2024-07-06,Lucknow,0.1,128
Xiaomi 14,Mobiles,Xiaomi,104318.26,141647.69,0.3578,354582.18,2024-03-14,Jaipur,4.0,479
Flight Domestic,Travel Tickets,IndiGo,14089.2,16973.0,0.2047,29675.32,2025-02-17,Delhi,1.5,495
Engineering Textbook,Books,Pearson,2386.42,3025.63,0.2679,6166.96,2023-04-06,Lucknow,9.7,29
Samsung Galaxy S24,Mobiles,Samsung,58655.47,60781.49,0.0362,67624.19,2024-04-16,Lucknow,6.6,37
